cmpdname,isosmiles
2-(2-Aminoethyl)pyridine,C1=CC=NC(=C1)CCN
5-Chlorotryptamine,C1=CC2=C(C=C1Cl)C(=CN2)CCN
1-Benzylimidazole,C1=CC=C(C=C1)CN2C=CN=C2
Citalopram hydrobromide,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F.Br
Rizatriptan benzoate,CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3.C1=CC=C(C=C1)C(=O)O
Rosiglitazone,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3
(Methoxymethyl)diphenylphosphine oxide,COCP(=O)(C1=CC=CC=C1)C2=CC=CC=C2
Methyl 3-methoxy-2-nitrobenzoate,COC1=CC=CC(=C1[N+](=O)[O-])C(=O)OC
Benzamidine hydrochloride,C1=CC=C(C=C1)C(=N)N.Cl
"3,4,4'-Triaminodiphenyl ether",C1=CC(=CC=C1N)OC2=CC(=C(C=C2)N)N
N-(4-Phenoxyphenyl)acetamide,CC(=O)NC1=CC=C(C=C1)OC2=CC=CC=C2
3-Benzyloxy-4-methoxybenzaldehyde,COC1=C(C=C(C=C1)C=O)OCC2=CC=CC=C2
1H-Indazol-6-amine,C1=CC2=C(C=C1N)NN=C2
Ethyl cyanocycloheptylideneacetate,CCOC(=O)C(=C1CCCCCC1)C#N
Flunisolide,C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@]35C)F)O
4'-Cyanobenzanilide,C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C#N
"Rhodanine, 3-(4-chlorophenyl)-",C1C(=O)N(C(=S)S1)C2=CC=C(C=C2)Cl
"N,N'-2-Phenylenedimaleimide",C1=CC=C(C(=C1)N2C(=O)C=CC2=O)N3C(=O)C=CC3=O
Ramifenazone Hydrochloride,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(C)C.Cl
"[(2R,3S,4R)-5-(6-Aminopurin-9-yl)-3,4-dihydroxy-2-oxolanyl]methyl dihydrogen phosphate",C1=NC(=C2C(=N1)N(C=N2)C3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N
Clarithromycin,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O
5-Nitrothiophen-2-ylmethylene diacetate,CC(=O)OC(C1=CC=C(S1)[N+](=O)[O-])OC(=O)C
3-Aminobenzanilide,C1=CC=C(C=C1)NC(=O)C2=CC(=CC=C2)N
Nitrilooxonium,N#[O+]
N-Ethylbenzanilide,CCN(C1=CC=CC=C1)C(=O)C2=CC=CC=C2
N-Methyldopamine hydrochloride,CNCCC1=CC(=C(C=C1)O)O.Cl
Guanethidine sulfate,C1CCCN(CCC1)CCN=C(N)N.OS(=O)(=O)O
"N-(2,4-Dichlorophenyl)-3-oxobutanamide",CC(=O)CC(=O)NC1=C(C=C(C=C1)Cl)Cl
"6-(5-Methyl-2-oxo-2,3-dihydro-1H-imidazol-4-yl)-6-oxo-hexanoic acid",CC1=C(NC(=O)N1)C(=O)CCCCC(=O)O
L-Methionine sulfoximine,CS(=N)(=O)CC[C@@H](C(=O)O)N
Tretazicar,C1CN1C2=C(C=C(C(=C2)C(=O)N)[N+](=O)[O-])[N+](=O)[O-]
Tiagabine hydrochloride,CC1=C(SC=C1)C(=CCCN2CCC[C@H](C2)C(=O)O)C3=C(C=CS3)C.Cl
Phentolamine mesylate,CC1=CC=C(C=C1)N(CC2=NCCN2)C3=CC(=CC=C3)O.CS(=O)(=O)O
Prochlorperazine edisylate,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl.C(CS(=O)(=O)O)S(=O)(=O)O
Oxybutynin chloride,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O.Cl
1-(Isopropylamino)-3-(1-naphthyloxy)-2-propanol,CC(C)NC[C@@H](COC1=CC=CC2=CC=CC=C21)O
Zolantidine,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3
L-2-Aminoadipic acid,C(C[C@@H](C(=O)O)N)CC(=O)O
Biperiden hydrochloride,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O.Cl
2-Phthalimidoglutaric acid,C1=CC=C2C(=C1)C(=O)N(C2=O)C(CCC(=O)O)C(=O)O
Meclizine hydrochloride,CC1=CC(=CC=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl.Cl
"N-(4,4-Diphenyl-3-butenyl)nipecotic acid",C1CC(CN(C1)CCC=C(C2=CC=CC=C2)C3=CC=CC=C3)C(=O)O
Argatroban,C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C
Drofenine hydrochloride,CCN(CC)CCOC(=O)C(C1CCCCC1)C2=CC=CC=C2.Cl
Norcantharidin,C1CC2C3C(C1O2)C(=O)OC3=O
Hexamethonium chloride,C[N+](C)(C)CCCCCC[N+](C)(C)C.[Cl-].[Cl-]
"Purine, 6-(benzylthio)-",C1=CC=C(C=C1)CSC2=NC=NC3=C2NC=N3
Epiquinidine,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O
N-Acetyl-L-tryptophanamide,CC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N
4-(Phenylsulfonyl)morpholine,C1COCCN1S(=O)(=O)C2=CC=CC=C2
"Anthraquinone, 2-acetamido-",CC(=O)NC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O
(2-Hydroxyphenyl)diphenylmethanol,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3O)O
Imidazoleacetic acid,C1=C(NC=N1)CC(=O)O
"2,3-Diphenylsuccinic acid",C1=CC=C(C=C1)C(C(C2=CC=CC=C2)C(=O)O)C(=O)O
2-(2-Bromophenyl)-1H-benzimidazole,C1=CC=C(C(=C1)C2=NC3=CC=CC=C3N2)Br
3-Aminopropylphosphonic acid,C(CN)CP(=O)(O)O
n-(5-Chloro-2-methoxyphenyl)-3-oxobutanamide,CC(=O)CC(=O)NC1=C(C=CC(=C1)Cl)OC
"3,7-Dimethyl-1-propargylxanthine",CN1C=NC2=C1C(=O)N(C(=O)N2C)CC#C
Z-L-Phe chloromethyl ketone,C1=CC=C(C=C1)C[C@@H](C(=O)CCl)NC(=O)OCC2=CC=CC=C2
"2,4-Dihydro-2,2'-dioxospiro(benz(c,d)indole-5(1H),3'-indoline)-3-carboxylic acid",C1C(=C2C3=C(C14C5=CC=CC=C5NC4=O)C=CC=C3NC2=O)C(=O)O
N-((4-(Acetylamino)phenyl)sulphonyl)acetamide,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NC(=O)C
4-(4-Methoxyphenoxy)aniline,COC1=CC=C(C=C1)OC2=CC=C(C=C2)N
5-Fluoropyrimidin-2-one,C1=C(C=NC(=O)N1)F
Moxifloxacin hydrochloride,COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O.Cl
Lobeline hydrochloride,CN1[C@@H](CCC[C@@H]1CC(=O)C2=CC=CC=C2)C[C@@H](C3=CC=CC=C3)O.Cl
Lobeline,CN1[C@@H](CCC[C@@H]1CC(=O)C2=CC=CC=C2)C[C@@H](C3=CC=CC=C3)O
(-)-Cinchonidine,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](C3=CC=NC4=CC=CC=C34)O
Alexidine dihydrochloride,CCCCC(CC)CN=C(N)NC(=NCCCCCCN=C(N)NC(=NCC(CC)CCCC)N)N.Cl.Cl
"1-(3,4,5-Trimethoxybenzyl)piperazine",COC1=CC(=CC(=C1OC)OC)CN2CCNCC2
Cobalt,[Co]
Fulvestrant,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F
Esmolol hydrochloride,CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O.Cl
Imipenem,C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O
Alfaxalone,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC(=O)[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@H](C4)O)C)C
"(5s)-6,6-Dimethyl-5-[(6r)-8-Oxo-6,8-Dihydrofuro[3,4-E][1,3]benzodioxol-6-Yl]-5,6,7,8-Tetrahydro[1,3]dioxolo[4,5-G]isoquinolin-6-Ium",C[N+]1(CCC2=CC3=C(C=C2[C@H]1[C@H]4C5=C(C6=C(C=C5)OCO6)C(=O)O4)OCO3)C
Vanoxerine dihydrochloride,C1CN(CCN1CCCC2=CC=CC=C2)CCOC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F.Cl.Cl
"(8S,10S,13S,14S,17S)-17-[2-[4-(2,6-Dipyrrolidin-1-ylpyrimidin-4-yl)piperazin-1-yl]acetyl]-10,13-dimethyl-6,7,8,12,14,15,16,17-octahydrocyclopenta[a]phenanthren-3-one",C[C@]12CC=C3[C@H]([C@@H]1CC[C@@H]2C(=O)CN4CCN(CC4)C5=NC(=NC(=C5)N6CCCC6)N7CCCC7)CCC8=CC(=O)C=C[C@@]83C
Chlorethylclonidine,CN(CCCl)CC1=CC(=C(C(=C1)Cl)NC2=NCCN2)Cl
3-(N-n-Octadecylcarbamoyloxy)-2-methoxypropyl-2-thiazolinium ethyl phosphate,CCCCCCCCCCCCCCCCCCNC(=O)OCC(COP(=O)([O-])OCC[N+]1=CSC=C1)OC
"[3-[Hydroxy-[2-(1,3-thiazol-3-ium-3-yl)ethoxy]phosphoryl]oxy-2-methoxypropyl] N-octadecylcarbamate",CCCCCCCCCCCCCCCCCCNC(=O)OCC(COP(=O)(O)OCC[N+]1=CSC=C1)OC
Sivelestat,CC(C)(C)C(=O)OC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NCC(=O)O
Racecadotril,CC(=O)SCC(CC1=CC=CC=C1)C(=O)NCC(=O)OCC2=CC=CC=C2
"2'-Methyl-4'-(5-methyl-(1,2,4)-oxadiazol-3-yl)biphenyl-4-carboxylic acid (4-methoxy-3-(4-methylpiperazin-1-yl)phenyl)amide",CC1=C(C=CC(=C1)C2=NOC(=N2)C)C3=CC=C(C=C3)C(=O)NC4=CC(=C(C=C4)OC)N5CCN(CC5)C
Tryptoline,C1CNCC2=C1C3=CC=CC=C3N2
Otenzepad,CCN(CC)CC1CCCCN1CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4
Betaxolol hydrochloride,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O.Cl
"2-(4-(4-(2-Methoxyphenyl)piperazin-1-yl)butyl)isoindoline-1,3-dione hydrobromide",COC1=CC=CC=C1N2CCN(CC2)CCCCN3C(=O)C4=CC=CC=C4C3=O.Br
Dihydrocapsaicin,CC(C)CCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC
Triptolide,CC(C)[C@@]12[C@@H](O1)[C@H]3[C@@]4(O3)[C@]5(CCC6=C([C@@H]5C[C@H]7[C@]4([C@@H]2O)O7)COC6=O)C
Ambroxol hydrochloride,C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O.Cl
"Butanedioic acid, compd. with 5-methoxy-3-(1,2,3,6-tetrahydro-4-pyridinyl)-1H-indole (1:1)",COC1=CC2=C(C=C1)NC=C2C3=CCNCC3.C(CC(=O)O)C(=O)O
"5-Methoxy-3-(1,2,3,6-tetrahydropyridin-4-yl)-1H-indole",COC1=CC2=C(C=C1)NC=C2C3=CCNCC3
"1-((5-Chloronaphthalen-1-yl)sulfonyl)-1,4-diazepane hydrochloride",C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CC=C3Cl.Cl
2-Methoxyidazoxan,COC1(COC2=CC=CC=C2O1)C3=NCCN3
"2-Methyl-8-(phenylmethoxy)imidazo[1,2-a]pyridine-3-acetonitrile",CC1=C(N2C=CC=C(C2=N1)OCC3=CC=CC=C3)CC#N
Zacopride,COC1=CC(=C(C=C1C(=O)NC2CN3CCC2CC3)Cl)N
Tadalafil,CN1CC(=O)N2[C@@H](C1=O)CC3=C([C@H]2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36
Arabinofuranosylcytosine,C1=CN(C(=O)N=C1N)C2[C@H]([C@@H]([C@H](O2)CO)O)O
Tizanidine hydrochloride,C1CN=C(N1)NC2=C(C=CC3=NSN=C32)Cl.Cl
Azasetron hydrochloride,CN1C(=O)COC2=C(C=C(C=C21)Cl)C(=O)NC3CN4CCC3CC4.Cl
Paliperidone,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
Perospirone hydrochloride,C1CC[C@H]2[C@@H](C1)C(=O)N(C2=O)CCCCN3CCN(CC3)C4=NSC5=CC=CC=C54.Cl
Perospirone,C1CC[C@H]2[C@@H](C1)C(=O)N(C2=O)CCCCN3CCN(CC3)C4=NSC5=CC=CC=C54
Fantofarone,CC(C)C1=CN2C=CC=CC2=C1S(=O)(=O)C3=CC=C(C=C3)OCCCN(C)CCC4=CC(=C(C=C4)OC)OC
"1H-Indole-3-carboxylic acid, 1-methyl-, (1-(2-((methylsulfonyl)amino)ethyl)-4-piperidinyl)methyl ester",CN1C=C(C2=CC=CC=C21)C(=O)OCC3CCN(CC3)CCNS(=O)(=O)C
Gallopamil hydrochloride,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC.Cl
Pefloxacin mesylate,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C)F)C(=O)O.CS(=O)(=O)O
Pramipexole,CCCN[C@H]1CCC2=C(C1)SC(=N2)N
Mosapride citrate,CCOC1=CC(=C(C=C1C(=O)NCC2CN(CCO2)CC3=CC=C(C=C3)F)Cl)N.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
Mosapride,CCOC1=CC(=C(C=C1C(=O)NCC2CN(CCO2)CC3=CC=C(C=C3)F)Cl)N
Valdecoxib,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N
Parecoxib,CCC(=O)NS(=O)(=O)C1=CC=C(C=C1)C2=C(ON=C2C3=CC=CC=C3)C
"4-Iodo-4'-nitro-1,1'-biphenyl",C1=CC(=CC=C1C2=CC=C(C=C2)I)[N+](=O)[O-]
"N-(3,4-Dimethoxyphenyl)-3,4,5-trimethoxybenzamide",COC1=C(C=C(C=C1)NC(=O)C2=CC(=C(C(=C2)OC)OC)OC)OC
"1,1-Diphenyl-4-piperidino-2-butyn-1-ol",C1CCN(CC1)CC#CC(C2=CC=CC=C2)(C3=CC=CC=C3)O
Naphthylin,C1=CC=C2C(=C1)C=CC=C2C3C(=O)C4=CC=CC=C4C3=O
Papp,C1CN(CCN1CCC2=CC=C(C=C2)N)C3=CC=CC(=C3)C(F)(F)F
"(2-Amino-4,5-dimethylthiophen-3-yl)(3-(trifluoromethyl)phenyl)methanone",CC1=C(SC(=C1C(=O)C2=CC(=CC=C2)C(F)(F)F)N)C
5-Fluoro-8-hydroxy-2-(dipropylamino)tetralin,CCCN(CCC)[C@H]1CCC2=C(C=CC(=C2C1)O)F
Nifekalant hydrochloride,CN1C(=CC(=O)N(C1=O)C)NCCN(CCCC2=CC=C(C=C2)[N+](=O)[O-])CCO.Cl
N-Carbamyltryptophan,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NC(=O)N
(1H-Imidazol-4-yl)methanol hydrochloride,C1=C(NC=N1)CO.Cl
Imatinib mesylate,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O
"1',3'-Dimethylspiro[1,3,4,6,7,12b-hexahydro-[1]benzofuro[2,3-a]quinolizine-2,4'-1,3-diazinane]-2'-one",CN1CCC2(CCN3CCC4=C(C3C2)OC5=CC=CC=C45)N(C1=O)C
Etomoxir,CCOC(=O)C1(CO1)CCCCCCOC2=CC=C(C=C2)Cl
"N,N-Dimethylarginine",CN(C)C(=NCCC[C@@H](C(=O)O)N)N
Benalfocin,CN1CCC2=C(CC1)C(=CC=C2)Cl
Desloratadine,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4
Htfmt,CC(CCCCC(=O)NC1=CC=C(C=C1)C(F)(F)F)NCCC2=CN=CN2
Glutathione,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N
N-(6-Aminohexyl)-5-chloro-1-naphthalenesulfonamide hydrochloride,C1=CC2=C(C=CC=C2Cl)C(=C1)S(=O)(=O)NCCCCCCN.Cl
"1'-Benzyl-3,4-dihydro-2H-spiro[naphthalene-1,4'-piperidine]",C1CC2=CC=CC=C2C3(C1)CCN(CC3)CC4=CC=CC=C4
3-Hydroxyphenazepam,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Br)O)Cl
Indatraline,CN[C@@H]1C[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl
2-(4-Morpholino)ethyl-1-phenylcyclohexane-1-carboxylate,C1CCC(CC1)(C2=CC=CC=C2)C(=O)OCCN3CCOCC3
"Benzoic acid, 2-[[3-(2-quinolinylmethoxy)phenyl]amino]-",C1=CC=C2C(=C1)C=CC(=N2)COC3=CC=CC(=C3)NC4=CC=CC=C4C(=O)O
Rufinamide,C1=CC(=C(C(=C1)F)CN2C=C(N=N2)C(=O)N)F
Itopride hydrochloride,CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C=C2)OC)OC.Cl
4-Amino-1-(6-chloro-2-pyridyl)-piperidine hydrochloride,C1CN(CCC1N)C2=NC(=CC=C2)Cl.Cl
1-(6-Chloropyridin-2-yl)piperidin-4-amine,C1CN(CCC1N)C2=NC(=CC=C2)Cl
"N-(4-((5-(3-(2-Aminoethyl)-1H-indol-5-yl)-1,2,4-oxadiazol-3-yl)methyl)phenyl)methanesulfonamide",CS(=O)(=O)NC1=CC=C(C=C1)CC2=NOC(=N2)C3=CC4=C(C=C3)NC=C4CCN
4-(Benzodioxan-5-yl)-1-(indan-2-yl)piperazine,C1CN(CCN1C2CC3=CC=CC=C3C2)C4=C5C(=CC=C4)OCCO5
Tilarginine,CN=C(N)NCCC[C@@H](C(=O)O)N
Fscpx,CCCN1C(=O)C2=C(N=C(N2)C3CCCC3)N(C1=O)CCCOC(=O)C4=CC=C(C=C4)S(=O)(=O)F
"3-Methyl-6-chloro-2,3,4,5-tetrahydro-7,8-dihydroxy-1-(3-methylphenyl)-1H-3-benzazepine",CC1=CC(=CC=C1)C2CN(CCC3=C(C(=C(C=C23)O)O)Cl)C
"6-[2-Aminoethyl(ethyl)amino]-2,3-dihydrophthalazine-1,4-dione",CCN(CCN)C1=CC2=C(C=C1)C(=O)NNC2=O
Imiloxan,CCN1C=CN=C1CC2COC3=CC=CC=C3O2
3-(4-(4-Chlorophenyl-4-hydroxypiperidino)methyl)indole,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CC3=CNC4=CC=CC=C43
Nisoxetine hydrochloride,CNCCC(C1=CC=CC=C1)OC2=CC=CC=C2OC.Cl
Methyl N5-(imino(nitroamino)methyl)-L-ornithine monohydrochloride,COC(=O)[C@H](CCCN=C(N)N[N+](=O)[O-])N.Cl
Tilarginine Acetate,CC(=O)O.CN=C(N)NCCC[C@@H](C(=O)O)N
Ketanserin tartrate,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O.C(C(C(=O)O)O)(C(=O)O)O
"1H-Tetrazole, 1,5-diphenyl-",C1=CC=C(C=C1)C2=NN=NN2C3=CC=CC=C3
"5,5,7,12,12,14-Hexamethyl-1,4,8,11-tetrazacyclotetradecane",CC1CC(NCCNC(CC(NCCN1)(C)C)C)(C)C
4-Imidazoleacetic acid hydrochloride,C1=C(NC=N1)CC(=O)O.Cl
Harmalol hydrochloride,CC1=NCCC2=C1NC3=C2C=CC(=C3)O.Cl
Virstatin,C1=CC2=C3C(=C1)C(=O)N(C(=O)C3=CC=C2)CCCC(=O)O
Escitalopram,CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F
Escitalopram oxalate,CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F.C(=O)(C(=O)O)O
"1-Phenyl-2,3,4,5-tetrahydro-1H-benzo[d]azepine-7,8-diol hydrochloride",C1CNCC(C2=CC(=C(C=C21)O)O)C3=CC=CC=C3.Cl
Amsacrine hydrochloride,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42.Cl
Levofloxacin,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
Aklavin,CC[C@]1(C[C@@H](C2=C(C3=C(C=C2[C@H]1C(=O)OC)C(=O)C4=C(C3=O)C(=CC=C4)O)O)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O)N(C)C)O
"(2R,3S)-3-(6-Amino-9H-purin-9-yl)nonan-2-ol",CCCCCC[C@@H]([C@@H](C)O)N1C=NC2=C(N=CN=C21)N
Ezetimibe,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O
N-Methylserotonin,CNCCC1=CNC2=C1C=C(C=C2)O
Moxifloxacin,COC1=C2C(=CC(=C1N3C[C@@H]4CCCN[C@@H]4C3)F)C(=O)C(=CN2C5CC5)C(=O)O
Idazoxan hydrochloride,C1CN=C(N1)C2COC3=CC=CC=C3O2.Cl
D-Kyotorphin,C1=CC(=CC=C1C[C@@H](C(=O)N[C@H](CCCN=C(N)N)C(=O)O)N)O
Dipropyl-5-CT,CCCN(CCC)CCC1=CNC2=C1C=C(C=C2)C(=O)N
(R)-alpha-Methylhistamine,C[C@H](CC1=CN=CN1)N
Epinastine hydrochloride,C1C2C3=CC=CC=C3CC4=CC=CC=C4N2C(=N1)N.Cl
Olmesartan,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O
Tipifarnib,CN1C=NC=C1[C@@](C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N
Oxidopamine hydrochloride,C1=C(C(=CC(=C1O)O)O)CCN.Cl
Serotonin hydrochloride,C1=CC2=C(C=C1O)C(=CN2)CCN.Cl
Cloperastine hydrochloride,C1CCN(CC1)CCOC(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl
Fipexide hydrochloride,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C(=O)COC4=CC=C(C=C4)Cl.Cl
Icilin,C1C=C(NC(=O)N1C2=CC=CC=C2O)C3=CC(=CC=C3)[N+](=O)[O-]
"Pentanoic acid [(13S,17S)-3-hydroxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl] ester",CCCCC(=O)O[C@H]1CCC2[C@@]1(CCC3C2CCC4=C3C=CC(=C4)O)C
Milnacipran hydrochloride,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2.Cl
Levonordefrin,C[C@@H]([C@@H](C1=CC(=C(C=C1)O)O)O)N
"Phosphonic acid, [2-(diethylamino)ethyl]-, diethyl ester",CCN(CC)CCP(=O)(OCC)OCC
(S)-(-)-Propranolol hydrochloride,CC(C)NC[C@@H](COC1=CC=CC2=CC=CC=C21)O.Cl
Methotrexate monohydrate,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O.O
Pridinol methanesulfonate,CS(=O)(=O)O.C1CCN(CC1)CCC(C2=CC=CC=C2)(C3=CC=CC=C3)O
L-Allylglycine,C=CC[C@@H](C(=O)O)N
N-Propylnorapomorphine,CCCN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)O)O
Benproperine phosphate,CC(COC1=CC=CC=C1CC2=CC=CC=C2)N3CCCCC3.OP(=O)(O)O
Urapidil hydrochloride,CN1C(=CC(=O)N(C1=O)C)NCCCN2CCN(CC2)C3=CC=CC=C3OC.Cl
(+)-Timolol,CC(C)(C)NC[C@H](COC1=NSN=C1N2CCOCC2)O
(R)-Naproxen,C[C@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
Azepexole hydrochloride,CCN1CCC2=C(CC1)OC(=N2)N.Cl.Cl
"4-Thiazolidinone, 3-ethyl-5-[(phenylamino)methylene]-2-thioxo-",CCN1C(=C(SC1=S)C=NC2=CC=CC=C2)O
DOI hydrochloride,CC(CC1=CC(=C(C=C1OC)I)OC)N.Cl
Fiduxosin,COC1=CC=CC2=C1[C@@H]3CN(C[C@@H]3CO2)CCCCN4C(=O)C5=C(C6=NC(=CN=C6S5)C7=CC=CC=C7)NC4=O
SKF-75670 hydrobromide,CN1CCC2=CC(=C(C=C2C(C1)C3=CC=CC=C3)O)O.Br
"3-Methyl-5-phenyl-1,2,4,5-tetrahydro-3-benzazepine-7,8-diol",CN1CCC2=CC(=C(C=C2C(C1)C3=CC=CC=C3)O)O
Atropine,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
Esatenolol,CC(C)NC[C@@H](COC1=CC=C(C=C1)CC(=O)N)O
Ropivacaine hydrochloride,CCCN1CCCC[C@H]1C(=O)NC2=C(C=CC=C2C)C.Cl
Ropivacaine,CCCN1CCCC[C@H]1C(=O)NC2=C(C=CC=C2C)C
"5-Chloro-4-N-(cyclopropylmethyl)-2-methyl-4-N-propyl-6-N-(2,4,6-trichlorophenyl)pyrimidine-4,6-diamine",CCCN(CC1CC1)C2=NC(=NC(=C2Cl)NC3=C(C=C(C=C3Cl)Cl)Cl)C
"3-(2,4-Dichlorophenyl)-4-(1-methyl-1H-indol-3-yl)-1H-pyrrole-2,5-dione",CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl
ZM 39923 hydrochloride,CC(C)N(CCC(=O)C1=CC2=CC=CC=C2C=C1)CC3=CC=CC=C3.Cl
"2-(Furan-2-yl)-7-phenethyl-7H-pyrazolo[4,3-e][1,2,4]triazolo[1,5-c]pyrimidin-5-amine",C1=CC=C(C=C1)CCN2C3=C(C=N2)C4=NC(=NN4C(=N3)N)C5=CC=CO5
"2H-1-Benzopyran-2-one, 3-chloro-7-methoxy-4-methyl-",CC1=C(C(=O)OC2=C1C=CC(=C2)OC)Cl
Dizocilpine,C[C@@]12C3=CC=CC=C3C[C@@H](N1)C4=CC=CC=C24
Memantine hydrochloride,CC12CC3CC(C1)(CC(C3)(C2)N)C.Cl
