inhibitor_id,warhead,site,gene,smiles
CI001857,Oxadiazole,SER,PAFAH1B2,COCCN(CC(=O)N(CCCCN)CC(=O)N(CCCCN)CC(N)=O)C(=O)CN(NC(=O)Nc1ccc(N(C)C)cc1)C(=O)CN(NC(=O)c1ccc(Cl)cc1)C(=O)Cn1nc(-c2ccc(-c3ccc(Br)cc3)s2)oc1=O
CI001858,Oxadiazole,SER,PAFAH1B2,COCCN(CC(=O)N(CCCCN)CC(=O)N(CCCCN)CC(N)=O)C(=O)CN(NC(=O)Nc1ccc(Br)cc1)C(=O)CN(NC(=O)c1ccc(Cl)cc1)C(=O)Cn1nc(-c2ccc(-c3ccc(Br)cc3)s2)oc1=O
CI001873,Oxadiazole,SER,PAFAH1B2,COCCC(=O)NN(CC(=O)N(CC(=O)N(CC(=O)N(CC(=O)N(CCOC)CC(=O)N(CCCCN)CC(=O)N(CCCCN)CC(N)=O)Cc1ccc2c(c1)OCO2)NC(=O)Nc1ccccc1)NC(=O)c1ccc(Cl)cc1)C(=O)CN(C)C(=O)Cn1nc(-c2ccc(-c3ccc(Br)cc3)s2)oc1=O
CI001879,Oxadiazole,SER,PAFAH1B2,COCCC(=O)NN(CC(=O)N(CC(=O)N(CC(=O)N(CC(=O)N(CCOC)CC(=O)N(CCCCN)CC(=O)N(CCCCN)CC(N)=O)Cc1ccc2c(c1)OCO2)NC(=O)Nc1ccccc1)NC(=O)c1ccc(Cl)cc1)C(=O)Cn1nc(-c2ccc(-c3ccc(Br)cc3)s2)oc1=O
CI001885,Oxadiazole,SER,PAFAH1B2,COCCC(=O)NN(CC(=O)N(CC(=O)N(CC(=O)N(CC(=O)N(CCOC)CC(=O)N(CCCCN)CC(=O)N(CCCCN)CC(N)=O)NC(=O)c1ccc(OC)cc1)NC(=O)Nc1ccccc1)NC(=O)c1ccc(Cl)cc1)C(=O)CN(C)C(=O)Cn1nc(-c2ccc(-c3ccc(Br)cc3)s2)oc1=O
CI001888,Oxadiazole,SER,PAFAH1B2,COCCN(CC(=O)N(CCCCN)CC(=O)N(CCCCN)CC(N)=O)C(=O)CN(NC(=O)Nc1ccccc1)C(=O)CN(NC(=O)c1ccc(Cl)cc1)C(=O)Cn1nc(-c2ccc(-c3ccc(Br)cc3)s2)oc1=O
CI002149,Phosphonate,SER,ache,Cc1cc(C)c2c(c1)COP(=O)(OCC1C=CC(n3cc(C)c(=O)[nH]c3=O)O1)O2
CI002150,Phosphonate,SER,ache,Cc1cccc2c1OP(=O)(OCC1CCC(n3cnc4c(N)ncnc43)O1)OC2
CI002275,Phosphonate,SER,ache,Cc1cccc2c1OP(=O)(OCC1CC(O)C(n3cnc4c(N)ncnc43)O1)OC2
CI002276,Phosphonate,SER,ache,Cc1cccc2c1OP(=O)(OCC1C=CC(n3cnc4c(O)nc(N)nc43)C1)OC2
CI002277,Phosphonate,SER,ache,Cc1cccc2c1OP(=O)(OCC(CO)CCn1cnc3c(O)nc(N)nc31)OC2
CI002278,Phosphonate,SER,ache,Cc1cn(C2C=CC(COP3(=O)OCc4cccc(-c5ccccc5)c4O3)O2)c(=O)[nH]c1=O
CI002279,Phosphonate,SER,ache,CCC(C)c1ccc2c(c1)COP(=O)(OCC1C=CC(n3cc(C)c(=O)[nH]c3=O)O1)O2
CI002280,Phosphonate,SER,ache,CCC(C)c1cccc2c1OP(=O)(OCC1C=CC(n3cc(C)c(=O)[nH]c3=O)O1)OC2
CI002281,Phosphonate,SER,ache,Cc1cn(C2C=CC(COP3(=O)OCc4c(F)c(C(C)(C)C)cc(C(C)(C)C)c4O3)O2)c(=O)[nH]c1=O
CI002282,Phosphonate,SER,ache,Cc1cn(C2C=CC(COP3(=O)OCc4cc(C(C)(C)C)cc(C(C)(C)C)c4O3)O2)c(=O)[nH]c1=O
CI002283,Phosphonate,SER,ache,Cc1cn(C2C=CC(COP3(=O)OCc4cc(CCC(=O)OCc5ccccc5)ccc4O3)O2)c(=O)[nH]c1=O
CI002284,Phosphonate,SER,ache,Cc1cn(C2C=CC(COP3(=O)OCc4cc(CCC(=O)O)ccc4O3)O2)c(=O)[nH]c1=O
CI002285,Phosphonate,SER,ache,Cc1cn(C2C=CC(COP3(=O)OCc4cccc(CCC(=O)O)c4O3)O2)c(=O)[nH]c1=O
CI002286,Phosphonate,SER,ache,Cc1cn(C2C=CC(COP3(=O)OCc4cccc(CCC(=O)OCc5ccccc5)c4O3)O2)c(=O)[nH]c1=O
CI002287,Phosphonate,SER,ache,Cc1cn(C2C=CC(COP3(=O)OCc4cc(CCC(=O)OC(C)(C)C)ccc4O3)O2)c(=O)[nH]c1=O
CI002288,Phosphonate,SER,ache,COC(=O)CCc1ccc2c(c1)COP(=O)(OCC1C=CC(n3cc(C)c(=O)[nH]c3=O)O1)O2
CI002289,Phosphonate,SER,ache,COC(=O)CCc1cccc2c1OP(=O)(OCC1C=CC(n3cc(C)c(=O)[nH]c3=O)O1)OC2
CI002290,Phosphonate,SER,ache,Cc1cn(C2C=CC(COP3(=O)OCc4cccc(CCC(=O)OC(C)(C)C)c4O3)O2)c(=O)[nH]c1=O
CI002291,Phosphonate,SER,ache,Cc1cccc2c1OP(=O)(OCC1CCC(n3cc(C)c(=O)[nH]c3=O)O1)OC2
CI002292,Phosphonate,SER,ache,Cc1cn(C2C=CC(COP3(=O)OCc4cc(C(C)(C)C)ccc4O3)O2)c(=O)[nH]c1=O
CI002293,Phosphonate,SER,ache,Cc1cccc2c1OP(=O)(OCCOCn1cnc3c(O)nc(N)nc31)OC2
CI002294,Phosphonate,SER,ache,Cc1cn(C2C=CC(COP3(=O)OCc4cc(-c5ccccc5)ccc4O3)O2)c(=O)[nH]c1=O
CI002295,Phosphonate,SER,ache,Cc1cccc2c1OP(=O)(OCC1OC(n3cc(C)c(=O)[nH]c3=O)CC1=O)OC2
CI002296,Phosphonate,SER,ache,Cc1cccc2c1OP(=O)(OCC1OC(n3cc(C)c(=O)[nH]c3=O)CC1N=[N+]=[N-])OC2
CI002297,Phosphonate,SER,ache,Cc1cccc2c1OP(=O)(OCC1C=CC(n3cnc4c(N)ncnc43)O1)OC2
CI002298,Phosphonate,SER,ache,Cc1cn(C2C=CC(COP3(=O)Oc4ccccc4C(C(Cl)(Cl)Cl)O3)O2)c(=O)[nH]c1=O
CI002299,Phosphonate,SER,ache,CCCCC1OP(=O)(OCC2C=CC(n3cc(C)c(=O)[nH]c3=O)O2)Oc2cccc(Cl)c21
CI002300,Phosphonate,SER,ache,Cc1cn(C2C=CC(COP3(=O)Oc4cccc(Cl)c4C(C)O3)O2)c(=O)[nH]c1=O
CI002301,Phosphonate,SER,ache,Cc1cn(C2C=CC(COP3(=O)OCc4c(ccc5ccccc45)O3)O2)c(=O)[nH]c1=O
CI002302,Phosphonate,SER,ache,Cc1cn(C2C=CC(COP3(=O)OCc4ccc5ccccc5c4O3)O2)c(=O)[nH]c1=O
CI002303,Phosphonate,SER,ache,Cc1cn(C2C=CC(COP3(=O)Oc4ccccc4C(C(Cl)Cl)O3)O2)c(=O)[nH]c1=O
CI002304,Phosphonate,SER,ache,Cc1cn(C2C=CC(COP3(=O)Oc4ccccc4C(CCl)O3)O2)c(=O)[nH]c1=O
CI002305,Phosphonate,SER,ache,CCOC(=O)CC1OP(=O)(OCC2C=CC(n3cc(C)c(=O)[nH]c3=O)O2)Oc2cccc(Cl)c21
CI002306,Phosphonate,SER,ache,Cc1cn(C2C=CC(COP3(=O)OCc4c(Cl)cccc4O3)O2)c(=O)[nH]c1=O
CI002307,Phosphonate,SER,ache,Cc1cn(C2C=CC(COP3(=O)OCc4cc5ccccc5cc4O3)O2)c(=O)[nH]c1=O
CI002571,Phosphonate,SER,ache,Cc1cn([C@H]2C=C[C@@H](COP3(=O)OCc4ccccc4O3)O2)c(=O)[nH]c1=O
CI002572,Phosphonate,SER,ache,Cc1ccc2c(c1)COP(=O)(OC[C@@H]1C=C[C@H](n3cc(C)c(=O)[nH]c3=O)O1)O2
CI002573,Phosphonate,SER,ache,Cc1cccc2c1OP(=O)(OC[C@@H]1C=C[C@H](n3cc(C)c(=O)[nH]c3=O)O1)OC2
CI002574,Phosphonate,SER,ache,Cc1cn([C@H]2C=C[C@@H](COP3(=O)OCc4cccc(C(C)(C)C)c4O3)O2)c(=O)[nH]c1=O
CI002777,Phosphonate,SER,ache,Cc1cccc2c1OP(=O)(OC[C@H]1C=C[C@@H](n3cnc4c(NC5CC5)nc(N)nc43)C1)OC2
CI003191,Phosphonate,SER,ache,Cc1cccc2c1OP(=O)(OC[C@@H]1C[C@H](F)[C@H](n3cnc4c(N)ncnc43)O1)OC2
CI003192,Phosphonate,SER,ache,Cc1cccc2c1O[P@@](=O)(OC[C@H]1O[C@@H](n3cc(F)c(=O)[nH]c3=O)C[C@@H]1O)OC2
CI003193,Phosphonate,SER,ache,Cc1cn([C@H]2C=C[C@@H](CO[P@@]3(=O)OCc4cccc(C(C)(C)C)c4O3)O2)c(=O)[nH]c1=O
CI003196,Phosphonate,SER,ache,Cc1cccc2c1OP(=O)(OC[C@@H]1C[C@@H](F)[C@H](n3cnc4c(N)ncnc43)O1)OC2
CI003197,Phosphonate,SER,ache,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](COP3(=O)OCc4cccc(-c5ccccc5)c4O3)O2)C[C@H]1/C=C/Br
CI003199,Phosphonate,SER,ache,Cc1cccc2c1O[P@@](=O)(OC[C@H](CO)OCn1cnc3c(O)nc(N)nc31)OC2
CI003200,Phosphonate,SER,ache,Cc1cn([C@H]2C=C[C@@H](CO[P@]3(=O)OCc4cccc(C(C)(C)C)c4O3)O2)c(=O)[nH]c1=O
CI003201,Phosphonate,SER,ache,Cc1cccc2c1O[P@](=O)(OC[C@H]1O[C@@H](n3cc(F)c(=O)[nH]c3=O)C[C@@H]1O)OC2
CI003202,Phosphonate,SER,ache,O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](CO[P@]3(=O)OCc4cccc(-c5ccccc5)c4O3)O2)CC1/C=C/Br
CI003203,Phosphonate,SER,ache,COc1ccc2c(c1)CO[P@](=O)(OC[C@@H]1C=C[C@H](n3cc(C)c(=O)[nH]c3=O)O1)O2
CI003204,Phosphonate,SER,ache,Cc1cccc2c1O[P@@](=O)(OC[C@@H]1C=C[C@H](n3cc(C)c(=O)[nH]c3=O)O1)OC2
CI003205,Phosphonate,SER,ache,Cc1cccc2c1OP(=O)(OC[C@H](CO)OCn1cnc3c(O)nc(N)nc31)OC2
CI003241,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)C(NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)Cn2ccc(=O)n(CC(=O)O)c2=O)C(C)C)C(C)C)cc1
CI003242,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)C(NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)Cn2cc(C)c(=O)n(CC(=O)O)c2=O)C(C)C)C(C)C)cc1
CI003243,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)[C@@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(C)C)cc1
CI003244,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(C)C)cc1
CI003245,Phosphonate,SER,ELANE,COc1ccc(C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](C(C)C)P(=O)(Oc2ccc(SC)cc2)Oc2ccc(SC)cc2)C(C)C)cc1
CI003246,Phosphonate,SER,ELANE,COc1ccc(C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@H](C(C)C)P(=O)(Oc2ccc(SC)cc2)Oc2ccc(SC)cc2)C(C)C)cc1
CI003247,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)[C@@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)COc2ccc(OCC(=O)O)cc2)C(C)C)C(C)C)cc1
CI003248,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)COc2ccc(OCC(=O)O)cc2)C(C)C)C(C)C)cc1
CI003249,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)[C@@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)Cn2ccc(=O)n(CC(=O)O)c2=O)C(C)C)C(C)C)cc1
CI003250,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)Cn2ccc(=O)n(CC(=O)O)c2=O)C(C)C)C(C)C)cc1
CI003251,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)[C@@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)Cn2cc(C)c(=O)n(CC(=O)O)c2=O)C(C)C)C(C)C)cc1
CI003252,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)Cn2cc(C)c(=O)n(CC(=O)O)c2=O)C(C)C)C(C)C)cc1
CI003253,Phosphonate,SER,ELANE,CC(C)CC(NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)P(=O)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1
CI003254,Phosphonate,SER,ELANE,CCCC(NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)P(=O)(Oc1ccc(SC)cc1)Oc1ccc(SC)cc1
CI003255,Phosphonate,SER,ELANE,CCCC(NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)P(=O)(Oc1ccccc1)Oc1ccccc1
CI003256,Phosphonate,SER,ELANE,CCCC(NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)P(=O)(Oc1ccc(C(C)(C)C)cc1)Oc1ccc(C(C)(C)C)cc1
CI003257,Phosphonate,SER,ELANE,CCCCC(NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)P(=O)(Oc1ccc(SC)cc1)Oc1ccc(SC)cc1
CI003258,Phosphonate,SER,ELANE,CCCCC(NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)P(=O)(Oc1ccccc1)Oc1ccccc1
CI003259,Phosphonate,SER,ELANE,CC(C)C(NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)P(=O)(Oc1ccccc1)Oc1ccccc1
CI003260,Phosphonate,SER,ELANE,CC(C)C(NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)P(=O)(Oc1ccc(C(C)(C)C)cc1)Oc1ccc(C(C)(C)C)cc1
CI003261,Phosphonate,SER,ELANE,CCc1ccc(OP(=O)(Oc2ccc(CC)cc2)C(NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(C)C)cc1
CI003262,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)C(NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(C)C)cc1
CI003263,Phosphonate,SER,ELANE,CC(C)C(NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)P(=O)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1
CI003264,Phosphonate,SER,ELANE,CC(C)c1ccc(OP(=O)(Oc2ccc(C(C)C)cc2)C(NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(C)C)cc1
CI003265,Phosphonate,SER,ELANE,COc1ccc(OP(=O)(Oc2ccc(OC)cc2)C(NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)C(C)C)cc1
CI003266,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)C(NC(=O)[C@@H]2CCCN2C(=O)CNC(=O)OC(C)(C)C)C(C)C)cc1
CI003267,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)C(NC(=O)[C@@H]2CCCN2C(=O)[C@@H](C)NC(=O)OC(C)(C)C)C(C)C)cc1
CI003268,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)C(NC(=O)[C@@H]2CCCN2C(=O)[C@H](C)NC(=O)OCc2ccccc2)C(C)C)cc1
CI003269,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)C(NC(=O)[C@@H]2CCCN2C(=O)C(C)CNC(=O)OCc2ccccc2)C(C)C)cc1
CI003270,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)C(NC(=O)[C@@H]2CCCN2C(=O)[C@H](COC(C)(C)C)NC(=O)OCc2ccccc2)C(C)C)cc1
CI003271,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)C(NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)OCc2ccccc2)C(C)C)C(C)C)cc1
CI003272,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)C(NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C)C(C)C)cc1
CI003273,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)C(NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)OCc2ccccc2)C(C)C)cc1
CI003274,Phosphonate,SER,ELANE,CC[C@H](C)[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NC(C(C)C)P(=O)(Oc1ccc(SC)cc1)Oc1ccc(SC)cc1
CI003275,Phosphonate,SER,ELANE,CSCC[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCC[C@H]1C(=O)NC(C(C)C)P(=O)(Oc1ccc(SC)cc1)Oc1ccc(SC)cc1
CI003276,Phosphonate,SER,ELANE,CCc1ccc(OP(=O)(Oc2ccc(CC)cc2)C(C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)cc1
CI003277,Phosphonate,SER,ELANE,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@H]1C(=O)NC(C)P(=O)(Oc1ccc(C(C)(C)C)cc1)Oc1ccc(C(C)(C)C)cc1
CI003278,Phosphonate,SER,ELANE,CC(C)c1ccc(OP(=O)(Oc2ccc(C(C)C)cc2)C(C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)cc1
CI003279,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)C(C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)cc1
CI003280,Phosphonate,SER,ELANE,CCC(NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)P(=O)(Oc1ccccc1)Oc1ccccc1
CI003281,Phosphonate,SER,ELANE,CCc1ccc(OP(=O)(Oc2ccc(CC)cc2)C(CC)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)cc1
CI003282,Phosphonate,SER,ELANE,CCC(NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)P(=O)(Oc1ccc(C(C)C)cc1)Oc1ccc(C(C)C)cc1
CI003283,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)C(NC(=O)[C@@H]2CCCN2C(=O)CNC(=O)OCc2ccccc2)C(C)C)cc1
CI003284,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)C(NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)COc2ccc(OCC(=O)O)cc2)C(C)C)C(C)C)cc1
CI003285,Phosphonate,SER,ELANE,COc1ccc(C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NC(C(C)C)P(=O)(Oc2ccc(SC)cc2)Oc2ccc(SC)cc2)C(C)C)cc1
CI003286,Phosphonate,SER,ELANE,CCC(NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)P(=O)(Oc1ccc(SC)cc1)Oc1ccc(SC)cc1
CI003287,Phosphonate,SER,ELANE,CCC(NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)P(=O)(Oc1ccc(C)c(C)c1)Oc1ccc(C)c(C)c1
CI003288,Phosphonate,SER,ELANE,CCC(NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)P(=O)(Oc1ccc(OC)cc1)Oc1ccc(OC)cc1
CI003289,Phosphonate,SER,ELANE,CC(C)CC(NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)P(=O)(Oc1ccccc1)Oc1ccccc1
CI003290,Phosphonate,SER,ELANE,COc1ccc(OP(=O)(Oc2ccc(OC)cc2)C(CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)cc1
CI003291,Phosphonate,SER,ELANE,CSc1ccc(OP(=O)(Oc2ccc(SC)cc2)C(CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)cc1
CI003292,Phosphonate,SER,ELANE,COC(=O)c1cccc(OP(=O)(Oc2cccc(C(=O)OC)c2)C(CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)c1
CI003293,Phosphonate,SER,ache,Cc1cccc2c1O[P@](=O)(OC[C@@H]1C=C[C@H](n3cc(C)c(=O)[nH]c3=O)O1)OC2
CI003430,Phosphonate,SER,ache,Cc1cccc2c1OP(=O)(OC[C@H]1O[C@@H](N3C=NC4C(=O)N=C(N)N=C43)C[C@@H]1O)OC2
CI003431,Phosphonate,SER,ache,Cc1cccc2c1OP(=O)(OC[C@H]1O[C@@H](N3CC(/C=C/Br)C(=O)NC3=O)C[C@@H]1O)OC2
CI003432,Phosphonate,SER,ache,Cc1cccc2c1OP(=O)(OC[C@H]1O[C@@H](n3cc(C)c(=O)[nH]c3=O)C[C@@H]1O)OC2
CI003433,Phosphonate,SER,ache,Cc1cccc2c1OP(=O)(OC[C@H]1O[C@@H](n3cc(F)c(=O)[nH]c3=O)C[C@@H]1O)OC2
CI003506,Phosphonate,SER,ache,Cc1cccc2c1O[P@@](=O)(OC[C@@H](CO)OCn1cnc3c(O)nc(N)nc31)OC2
CI003507,Phosphonate,SER,ache,COc1ccc2c(c1)CO[P@@](=O)(OC[C@@H]1C=C[C@H](n3cc(C)c(=O)[nH]c3=O)O1)O2
CI003206,Urea carbonyl,SER,Abhd6,COc1ccccc1-c1ccc(-c2cn(C(=O)N3CCCCC3Cc3ccccc3)nn2)cc1
CI003443,Urea carbonyl,SER,Abhd6,COc1ccc(-c2ccc(-c3cn(C(=O)N4CCCCC4c4ccccc4)nn3)cc2)cc1
CI003444,Urea carbonyl,SER,Abhd6,O=C(N1CCCCC1Cc1ccccc1)n1cc(-c2ccc(-c3cccc(CO)c3)cc2)nn1
CI003445,Urea carbonyl,SER,Abhd6,O=C(c1ccc(-c2ccc(-c3cn(C(=O)N4CCCCC4Cc4ccccc4)nn3)cc2)cc1)N1CCCCC1
CI003446,Urea carbonyl,SER,Abhd6,COc1ccccc1-c1ccc(-c2cn(C(=O)N3CCCCC3c3ccccc3)nn2)cc1
CI003447,Urea carbonyl,SER,Abhd6,O=C(N1CCCCC1c1ccccc1)n1cc(-c2ccc(-c3ccccc3CO)cc2)nn1
CI003448,Urea carbonyl,SER,Abhd6,O=C(N1CCCCC1c1ccccc1)n1cc(-c2ccc(-c3cccc(CO)c3)cc2)nn1
CI003449,Urea carbonyl,SER,Abhd6,O=C(N1CCCCC1c1ccccc1)n1cc(-c2ccc(-c3ccc(CO)cc3)cc2)nn1
CI003450,Urea carbonyl,SER,Abhd6,O=C(c1cccc(-c2ccc(-c3cn(C(=O)N4CCCCC4c4ccccc4)nn3)cc2)c1)N1CCCCC1
CI003451,Urea carbonyl,SER,Abhd6,O=C(c1ccc(-c2ccc(-c3cn(C(=O)N4CCCCC4c4ccccc4)nn3)cc2)cc1)N1CCCCC1
CI003452,Urea carbonyl,SER,Abhd6,NC(=O)c1ccc(-c2ccc(-c3cn(C(=O)N4CCCCC4c4ccccc4)nn3)cc2)cc1
CI003453,Urea carbonyl,SER,Abhd6,O=C(O)c1cccc(-c2ccc(-c3cn(C(=O)N4CCCCC4Cc4ccccc4)nn3)cc2)c1
CI003454,Urea carbonyl,SER,Abhd6,O=C(O)c1cccc(-c2ccc(-c3cn(C(=O)N4CCCCC4c4ccccc4)nn3)cc2)c1
CI003455,Urea carbonyl,SER,Abhd6,O=C(O)c1cccc(-c2ccc(-c3cn(C(=O)N4CCCCC4CCc4ccccc4)nn3)cc2)c1
CI000004,Isothiocyanate,PRO-2,MIF,S=C=NCc1ccccc1
CI000013,Isothiocyanate,PRO-2,MIF,CS(=O)CCCCN=C=S
CI000015,Isothiocyanate,PRO-2,MIF,C=CCN=C=S
CI000021,Isothiocyanate,PRO-2,MIF,S=C=Nc1ccccc1
CI000038,Isothiocyanate,PRO-2,MIF,S=C=NCCc1ccccc1
CI000039,Isothiocyanate,PRO-2,MIF,CC(N=C=S)c1ccccc1
CI000057,Isothiocyanate,PRO-2,MIF,S=C=NCCCc1ccccc1
CI000058,Isothiocyanate,PRO-2,MIF,Fc1ccc(CN=C=S)cc1
CI000071,Isothiocyanate,PRO-2,MIF,S=C=NCCCCCCc1ccccc1
CI000074,Isothiocyanate,PRO-2,MIF,COc1ccc(CN=C=S)cc1
CI000078,Isothiocyanate,PRO-2,MIF,S=C=NCCCCc1ccccc1
CI000082,Isothiocyanate,PRO-2,MIF,S=C=NCCc1ccc(Cl)cc1
CI000120,Isothiocyanate,PRO-2,MIF,S=C=NC(c1ccccc1)c1ccccc1
CI000158,Isothiocyanate,PRO-2,MIF,Fc1cccc(CN=C=S)c1
CI000162,Isothiocyanate,PRO-2,MIF,S=C=NCc1ccc2c(c1)OCO2
CI000268,Isothiocyanate,PRO-2,MIF,C[C@@H](N=C=S)c1ccccc1
CI000384,Isothiocyanate,PRO-2,MIF,Oc1ccc(CCN=C=S)cc1
CI000440,Isothiocyanate,PRO-2,MIF,Oc1ccc(CCN=C=S)cc1O
CI000644,Isothiocyanate,PRO-2,MIF,NS(=O)(=O)c1ccc(CN=C=S)cc1
CI000648,Isothiocyanate,PRO-2,MIF,CCC(N=C=S)c1ccccc1
CI000657,Isothiocyanate,PRO-2,MIF,FC(F)(F)c1cccc(CN=C=S)c1
CI000701,Isothiocyanate,PRO-2,MIF,CCC(N=C=S)c1ccc(O)cc1
CI000714,Isothiocyanate,PRO-2,MIF,COc1ccccc1OCCN=C=S
